,female_id,female_bdate,male_id,male_bdate
0,567787413,2004,215448854,
1,507795486,2003,238595074,
2,567788124,2005,356537203,
3,327827551,2004,443681469,
4,387832611,2002,288111660,
5,297784259,2003,260073220,
6,347800693,2002,432109211,
7,577805236,2005,446511447,
8,337819108,2002,423878293,
9,237773194,2003,450582827,
10,477817471,2004,403200137,
11,287807114,2003,148148545,
12,327823550,2004,219788208,
13,167761604,2002,419040388,
14,347812035,2002,303308449,
15,527791630,2003,147527401,
16,277769481,2002,407623326,
17,577795528,2005,569270728,
18,457823141,2003,396607590,
19,457822285,2003,434946793,
20,496969371,2005,548180059,
21,517795712,2005,177298345,
22,547813100,2004,124400150,
23,485017371,2003,583322472,
24,577801793,2006,523703335,
25,217754319,2002,246829855,
26,457839513,2003,57111645,
27,557823013,2005,539182264,
28,207778802,2002,159538829,
29,537810476,2005,583675441,
30,547834817,2005,278400546,
31,277790560,2002,201332115,
32,267789312,2002,339712355,
33,307804624,2004,353328359,
34,577821144,2003,564850504,
35,227799055,2004,575653098,
36,347818802,2003,557662167,
37,457858592,2004,569052238,
38,537825027,2004,505461531,
39,567818340,2003,274292407,
40,507822696,2004,240319985,
41,387857655,2003,383106641,
42,407858743,2003,238397991,
43,477840484,2002,361810909,
44,557837074,2003,465858583,
45,577848433,2002,359417604,
46,317830025,2004,252397304,
47,297832002,2003,417201987,
48,477857532,2004,374257712,
49,417860021,2004,546306277,
50,197802041,2002,62595120,
51,467511873,2002,281529294,
52,467520185,2002,388753880,
53,537847070,2004,133783795,
54,527861636,2004,276697403,
55,327877289,2002,513020399,
56,427871789,2003,284523943,
57,267841544,2003,278466912,
58,297846883,2004,375209518,
59,167807518,2005,444242386,
60,357859621,2006,361005121,
61,457891504,2003,524440908,
62,267833599,2003,507850916,
63,497049512,2004,371560223,
64,217837498,2005,363321272,
65,337882194,2003,413834672,
66,227848560,2002,202042575,
67,467534889,2004,291164328,
68,467539303,2004,425615934,
69,127859084,2002,223011154,
70,237812314,2004,176449051,
71,277819667,2003,205456034,
72,317823045,2004,515355176,
73,507837404,2005,491284186,
74,317815599,2003,204639346,
75,547853800,2005,256099353,
76,547857044,2004,280703930,
77,307826405,2003,270833184,
78,467507585,2003,424762040,
79,297813389,2003,543731667,
80,427844062,2004,562980194,
81,457865387,2003,495258447,
82,327855314,2005,279789826,
